attempt_id,Prologue,Start,Crossing,{Forsaken City} Chasm,Start2,Intervention,{Old Site} Awake,Start3,Huge Mess,Elevator Shaft,{Celestial Resort} Presidential Suite,Start4,Shrine,Old Trail,{Golden Ridge} Cliff Face,Start5,Cassette,5B Start,Central Chamber,Through the Mirror,{Mirror Temple} Mix Master,Start6,Lake,Cassette7,6B Start,Reflection,Rock Bottom,{Reflection} Reprieve,0m,500m,1000m,1500m,2000m,2500m,{The Summit} 3000m
-1,0,21930,46138,0,68068,0,0,89998,0,0,0,111928,128639,0,171427,193357,0,0,0,235975,0,257905,0,0,0,0,312644,384741,0,0,0,0,0,0,0
1,28306,47839,79663,109634,129167,200006,211974,231507,336414,377520,440080,459613,479146,547486,591227,610760,621674,646834,766446,840923,891294,910827,948006,958920,1090822,1203736,1307623,1416542,1461490,1515397,1564680,1646755,1735121,1824932,2025804
2,28288,71417,94452,114852,157981,220506,233035,276164,396949,438105,511715,554844,580599,650808,694039,737168,783714,812427,876126,929982,1001926,1045055,0,1091601,0,0,0,0,0,0,0,0,0,0,0
3,28679,46954,70040,0,88315,0,0,106590,0,0,0,124865,0,0,0,143140,0,0,0,0,0,161415,0,0,0,0,0,0,0,0,0,0,0,0,0
4,28356,48620,74170,98582,118846,181371,193644,213908,320651,360856,411957,432221,449884,519567,562713,582977,617130,642052,697489,734157,770996,791260,826297,860450,938191,1019382,1084254,1153308,1218740,1277305,1322661,1411706,1488290,1560710,1736337
6,28255,47244,72047,94742,113731,178586,190078,209067,311457,356269,413780,432769,477802,527697,579615,598604,614465,639472,688823,723043,785535,804524,838099,853960,958544,1045040,1112887,1186140,1231377,1287239,1332595,1390650,1496458,1568249,1752631
7,28237,99195,123726,145486,216444,283815,294848,365806,478261,0,0,549219,0,0,0,620177,0,0,0,0,0,691135,0,0,0,0,0,0,0,0,0,0,0,0,0
9,28288,61233,84489,104328,137273,198048,209523,242468,355059,416361,482355,515300,548518,604720,647424,680369,722359,746992,806288,844946,0,877891,0,919881,0,0,0,0,0,0,0,0,0,0,0
10,28203,94996,124304,145316,212109,273530,284971,351764,457011,0,0,523804,0,0,0,590597,0,0,0,0,0,657390,0,0,0,0,0,0,0,0,0,0,0,0,0
11,28118,45458,74460,0,91800,0,0,109140,0,0,0,126480,0,0,0,143820,0,0,0,0,0,161160,0,0,0,0,0,0,0,0,0,0,0,0,0
12,28322,46971,71178,0,89827,0,0,108476,0,0,0,127125,0,0,0,145774,0,0,0,0,0,164423,0,0,0,0,0,0,0,0,0,0,0,0,0
13,28135,47260,74375,97478,116603,177922,189278,208403,308192,340900,392120,411245,428279,494289,539576,558701,575735,600062,656621,691233,749186,768311,803212,820246,903562,989548,1047127,1134133,1178417,1226306,1273379,1341463,1418728,1490978,1668152
15,28187,45135,0,0,62083,0,0,79031,0,0,0,95979,0,0,0,112927,0,0,0,0,0,129875,0,0,0,0,0,0,0,0,0,0,0,0,0
18,28271,62814,87582,108050,142593,202110,213279,247822,0,0,0,282365,0,0,0,316908,0,0,0,0,0,351451,0,0,0,0,0,0,0,0,0,0,0,0,0
20,28305,46104,0,0,63903,0,0,81702,0,0,0,99501,0,0,0,117300,0,0,0,0,0,135099,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28101,54433,0,0,80765,0,0,107097,0,0,0,133429,0,0,0,159761,0,0,0,0,0,186093,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28186,46257,73406,0,91477,0,0,109548,0,0,0,127619,0,0,0,145690,0,0,0,0,0,163761,0,0,0,0,0,0,0,0,0,0,0,0,0
30,28084,47464,74324,95030,114410,180319,191539,210919,312188,358989,408833,428213,445077,494700,552755,572135,617933,647887,696558,734621,795991,815371,845087,890885,960738,1035504,1120469,1229728,0,0,0,0,0,0,0
31,28237,49640,73270,102561,123964,183447,195347,216750,322626,355742,420597,442000,463420,535653,582504,603907,617847,642378,714084,749087,803266,824669,854572,868512,938382,1018588,1073430,1200029,0,0,0,0,0,0,0
32,0,19074,42890,66299,85373,145128,159255,178329,276147,311812,357576,376650,399430,443273,483461,502535,516424,540836,596647,625768,681579,700653,742150,756039,824090,905691,977158,1060339,1107565,1162407,1217096,1280965,1369586,1440595,1601534
34,28238,44829,68935,0,85526,0,0,102117,0,0,0,118708,0,0,0,135299,0,0,0,0,0,151890,0,0,0,0,0,0,0,0,0,0,0,0,0
35,28135,44999,0,0,61863,0,0,78727,0,0,0,95591,0,0,0,112455,0,0,0,0,0,129319,0,0,0,0,0,0,0,0,0,0,0,0,0
36,28220,62763,85627,105466,140009,198676,209827,244370,0,0,0,278913,0,0,0,313456,0,0,0,0,0,347999,0,0,0,0,0,0,0,0,0,0,0,0,0
40,27999,64039,87941,108001,144041,0,0,180081,0,0,0,216121,0,0,0,252161,0,0,0,0,0,288201,0,0,0,0,0,0,0,0,0,0,0,0,0
42,28322,45407,68476,87822,104907,0,0,121992,0,0,0,139077,0,0,0,156162,0,0,0,0,0,173247,0,0,0,0,0,0,0,0,0,0,0,0,0
44,28237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,28169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,28135,45339,67642,0,84846,0,0,102050,0,0,0,119254,0,0,0,136458,0,0,0,0,0,153662,0,0,0,0,0,0,0,0,0,0,0,0,0
47,28085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,28084,73627,99212,118983,164526,221816,232576,278119,382023,429827,477036,522579,559282,0,0,604825,0,0,0,0,0,650368,0,0,0,0,0,0,0,0,0,0,0,0,0
49,28186,50116,74323,98106,120036,178210,185962,207892,308464,353123,401437,423367,440077,488425,531214,553144,561865,586124,641221,683840,733888,755818,784548,793269,865281,945963,1000703,1072800,1112920,1157868,1202918,1262197,1342556,1407122,1574130
51,28101,46801,70634,0,89334,0,0,108034,0,0,0,126734,0,0,0,145434,0,0,0,0,0,164134,0,0,0,0,0,0,0,0,0,0,0,0,0
53,27999,49249,71093,101880,123130,0,0,144380,0,0,0,165630,0,0,0,186880,0,0,0,0,0,208130,0,0,0,0,0,0,0,0,0,0,0,0,0
54,28356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,28016,47379,72063,97698,117061,181541,192404,211767,311183,346169,393174,412537,429894,483375,529734,549097,560197,585084,648935,684941,722799,742162,770467,781567,847833,916666,969824,1069902,1110158,1155174,1199051,1250968,1330153,1399716,1568015
57,28254,47243,69223,89044,108033,166257,177426,196415,300863,341016,392560,411549,428022,469280,529358,548347,556914,580918,631577,672138,723290,742279,774086,782653,847865,914607,965658,1026483,1066807,1113318,1157110,1208058,1279968,1344466,1510385
58,28118,47022,69852,89453,108357,168162,175880,194784,287689,318799,373403,392307,408371,449307,492928,511832,527114,553123,597680,635522,669164,688068,716135,731417,799451,866601,917482,978868,1033200,1083231,1135811,1195787,1268938,1339453,1491755
60,28118,44336,0,0,60554,0,0,76772,0,0,0,92990,0,0,0,109208,0,0,0,0,0,125426,0,0,0,0,0,0,0,0,0,0,0,0,0
61,28135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,28220,44352,66401,88501,104633,0,0,120765,0,0,0,136897,0,0,0,153029,0,0,0,0,0,169161,0,0,0,0,0,0,0,0,0,0,0,0,0
65,28084,66283,88723,108136,146335,201857,209558,247757,344606,384130,427956,466155,482203,569769,0,607968,0,0,0,0,0,646167,0,0,0,0,0,0,0,0,0,0,0,0,0
66,28203,44760,66758,86036,102593,0,0,119150,0,0,0,135707,0,0,0,152264,0,0,0,0,0,168821,0,0,0,0,0,0,0,0,0,0,0,0,0
69,28152,44335,0,0,60518,0,0,76701,0,0,0,92884,0,0,0,109067,0,0,0,0,0,125250,0,0,0,0,0,0,0,0,0,0,0,0,0
70,28118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,28050,44148,0,0,60246,0,0,76344,0,0,0,92442,0,0,0,108540,0,0,0,0,0,124638,0,0,0,0,0,0,0,0,0,0,0,0,0
73,28067,90048,111944,131953,193934,253961,265045,327026,422260,459693,0,521674,0,0,0,583655,0,0,0,0,0,645636,0,0,0,0,0,0,0,0,0,0,0,0,0
76,28169,44641,66468,0,82940,0,0,99412,0,0,0,115884,0,0,0,132356,0,0,0,0,0,148828,0,0,0,0,0,0,0,0,0,0,0,0,0
77,28152,44862,0,0,61572,0,0,78282,0,0,0,94992,0,0,0,111702,0,0,0,0,0,128412,0,0,0,0,0,0,0,0,0,0,0,0,0
79,28169,44880,0,0,61591,0,0,78302,0,0,0,95013,0,0,0,111724,0,0,0,0,0,128435,0,0,0,0,0,0,0,0,0,0,0,0,0
80,28152,61437,83758,103053,136338,192693,203726,237011,0,0,0,270296,0,0,0,303581,0,0,0,0,0,336866,0,0,0,0,0,0,0,0,0,0,0,0,0
82,28033,46205,68627,0,86799,0,0,104971,0,0,0,123143,0,0,0,141315,0,0,0,0,0,159487,0,0,0,0,0,0,0,0,0,0,0,0,0
83,28118,46920,68900,88076,106878,162960,176322,195124,296750,328556,383942,402744,419267,463993,502583,521385,529697,557576,613522,641503,682557,701359,736566,744878,816924,880895,931690,1017029,1056350,1109985,1161630,1212324,1282754,1353287,1510910
84,28135,44743,0,0,61351,0,0,77959,0,0,0,94567,0,0,0,111175,0,0,0,0,0,127783,0,0,0,0,0,0,0,0,0,0,0,0,0
85,28203,61573,83554,102746,136116,0,0,169486,0,0,0,202856,0,0,0,236226,0,0,0,0,0,269596,0,0,0,0,0,0,0,0,0,0,0,0,0
86,28152,46903,69036,88875,107626,162978,170679,189430,284834,317474,363356,382107,398138,438903,478870,497621,505967,540069,585016,612845,646657,665408,693423,701769,766811,839434,899155,958569,997703,1043551,1087479,1138886,1212343,1282519,1437745
87,28169,104651,126547,145944,222426,278933,286600,363082,0,0,0,439564,0,0,0,516046,0,0,0,0,0,592528,0,0,0,0,0,0,0,0,0,0,0,0,0
90,28135,91596,113594,134453,197914,255408,267392,330853,428058,0,0,491519,0,0,0,554980,0,0,0,0,0,618441,0,0,0,0,0,0,0,0,0,0,0,0,0
91,28305,44744,0,0,61183,0,0,77622,0,0,0,94061,0,0,0,110500,0,0,0,0,0,126939,0,0,0,0,0,0,0,0,0,0,0,0,0
92,28186,59823,82586,101914,133551,189345,200275,231912,325174,355739,399157,430794,446739,496855,539711,571348,603614,627668,671664,724143,0,755780,0,788046,0,0,0,0,0,0,0,0,0,0,0
93,28220,95012,117077,138123,204915,263802,274614,341406,0,0,0,408198,0,0,0,474990,0,0,0,0,0,541782,0,0,0,0,0,0,0,0,0,0,0,0,0
95,27914,47497,0,0,67080,0,0,86663,0,0,0,106246,0,0,0,125829,0,0,0,0,0,145412,0,0,0,0,0,0,0,0,0,0,0,0,0
96,28492,45696,67898,93839,111043,0,0,128247,0,0,0,145451,0,0,0,162655,0,0,0,0,0,179859,0,0,0,0,0,0,0,0,0,0,0,0,0
97,28135,93856,115701,135421,201142,257803,269091,334812,0,0,0,400533,0,0,0,466254,0,0,0,0,0,531975,0,0,0,0,0,0,0,0,0,0,0,0,0
98,28101,68272,90406,109956,150127,206396,214131,254302,356250,385999,432612,472783,488814,537246,584268,624439,0,0,0,0,0,664610,0,0,0,0,0,0,0,0,0,0,0,0,0
99,28186,70107,92206,113762,155683,0,0,197604,0,0,0,239525,0,0,0,281446,0,0,0,0,0,323367,0,0,0,0,0,0,0,0,0,0,0,0,0
102,28084,60434,82755,103222,135572,191383,199254,231604,329438,378397,445938,478288,499418,547527,593665,626015,659879,0,0,0,0,692229,0,726093,0,0,0,0,0,0,0,0,0,0,0
103,28203,90847,112640,131850,194494,249778,259450,322094,0,0,0,384738,0,0,0,447382,0,0,0,0,0,510026,0,0,0,0,0,0,0,0,0,0,0,0,0
104,28067,49589,0,0,71111,0,0,92633,0,0,0,114155,0,0,0,135677,0,0,0,0,0,157199,0,0,0,0,0,0,0,0,0,0,0,0,0
105,28254,45253,0,0,62252,0,0,79251,0,0,0,96250,0,0,0,113249,0,0,0,0,0,130248,0,0,0,0,0,0,0,0,0,0,0,0,0
106,28271,47192,69546,90898,109819,169760,177392,196313,290884,322079,367213,386134,402284,450428,490292,509213,517542,541494,588635,616464,654628,673549,701429,709758,774749,853833,914013,986602,1037415,1095962,1139414,1224074,1316299,1379471,1548756
107,28186,46954,68951,88263,107031,165001,174742,193510,293367,323661,369629,388397,404648,452622,492503,511271,523697,547547,591746,630182,674466,693234,721420,733846,799534,869795,920692,991377,1030749,1074490,1118469,1168822,1239882,1307490,1471437
108,28271,49079,70906,90388,111196,167414,178702,199510,293094,330256,378128,398936,415136,463246,505031,525839,535495,568389,612639,640264,674416,695224,727949,737605,807916,875848,926763,1026195,1065414,1110854,1164013,1226062,1310841,1377005,1520467
109,28203,45797,68576,0,86170,0,0,103764,0,0,0,121358,0,0,0,138952,0,0,0,0,0,156546,0,0,0,0,0,0,0,0,0,0,0,0,0
110,28067,47073,68968,88161,107167,165306,175964,194970,299350,350944,408897,427903,458707,514534,574748,593754,610141,634145,684481,722833,758617,777623,805367,821754,886575,963245,1014194,1078164,1118148,1165458,1208706,1274529,1360022,1423551,1575870
111,28152,46988,68747,88093,106929,165426,176356,195192,292839,334693,378739,397575,418706,466985,506323,525159,534407,558206,606180,644140,686061,704897,734578,743826,814596,884806,938746,1001764,1040779,1083873,1127273,1177678,1248721,1314137,1478968
112,28322,45049,67795,0,84522,0,0,101249,0,0,0,117976,0,0,0,134703,0,0,0,0,0,151430,0,0,0,0,0,0,0,0,0,0,0,0,0
114,28135,44761,0,0,61387,0,0,78013,0,0,0,94639,0,0,0,111265,0,0,0,0,0,127891,0,0,0,0,0,0,0,0,0,0,0,0,0
115,27982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,28101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,28135,61369,85508,106231,139465,199168,206869,240103,0,0,0,273337,0,0,0,306571,0,0,0,0,0,339805,0,0,0,0,0,0,0,0,0,0,0,0,0
120,28220,44318,0,0,60416,0,0,76514,0,0,0,92612,0,0,0,108710,0,0,0,0,0,124808,0,0,0,0,0,0,0,0,0,0,0,0,0
123,27965,99450,121464,140572,212057,268208,275875,347360,446010,477136,527694,599179,0,0,0,670664,0,0,0,0,0,742149,0,0,0,0,0,0,0,0,0,0,0,0,0
124,28101,62202,84251,103495,137596,0,0,171697,0,0,0,205798,0,0,0,239899,0,0,0,0,0,274000,0,0,0,0,0,0,0,0,0,0,0,0,0
125,28016,91340,113831,133006,196330,256203,263921,327245,0,0,0,390569,0,0,0,453893,0,0,0,0,0,517217,0,0,0,0,0,0,0,0,0,0,0,0,0
128,28118,61403,83503,104038,137323,197044,204830,238115,0,0,0,271400,0,0,0,304685,0,0,0,0,0,337970,0,0,0,0,0,0,0,0,0,0,0,0,0
129,28186,45696,0,0,63206,0,0,80716,0,0,0,98226,0,0,0,115736,0,0,0,0,0,133246,0,0,0,0,0,0,0,0,0,0,0,0,0
130,28220,59210,81360,100570,131560,187370,197570,228560,323895,354171,398863,429853,446411,497037,544875,575865,609049,0,0,0,0,640039,0,673223,0,0,0,0,0,0,0,0,0,0,0
132,28084,47277,70345,90286,109479,167789,178447,197640,297056,327894,373385,392578,408710,451516,495511,514704,538623,569018,621021,656482,698488,717681,749675,773594,856656,998589,1049469,1112912,1155276,1202926,1252532,1326821,1409594,1479974,1684007
133,28101,50473,72368,93839,116211,171512,182987,205359,301510,335986,381087,403459,420102,461055,501702,524074,532437,559008,603173,631155,676323,698695,732542,740905,815160,884061,936880,1016388,1055539,1109106,1154513,0,0,0,0
134,28203,44420,66961,86680,102897,0,0,119114,0,0,0,135331,0,0,0,151548,0,0,0,0,0,167765,0,0,0,0,0,0,0,0,0,0,0,0,0
135,28050,61862,84828,104055,137867,196024,206785,240597,0,0,0,274409,0,0,0,308221,0,0,0,0,0,342033,0,0,0,0,0,0,0,0,0,0,0,0,0
136,28237,66180,89180,108985,146928,202654,210321,248264,344789,375253,422937,460880,480446,531922,0,569865,0,0,0,0,0,607808,0,0,0,0,0,0,0,0,0,0,0,0,0
137,28101,62695,84591,105195,139789,0,0,174383,0,0,0,208977,0,0,0,243571,0,0,0,0,0,278165,0,0,0,0,0,0,0,0,0,0,0,0,0
139,28084,44216,0,0,60348,0,0,76480,0,0,0,92612,0,0,0,108744,0,0,0,0,0,124876,0,0,0,0,0,0,0,0,0,0,0,0,0
140,28050,99467,121566,141575,212992,269822,278560,349977,0,0,0,421394,0,0,0,492811,0,0,0,0,0,564228,0,0,0,0,0,0,0,0,0,0,0,0,0
141,28254,46273,0,0,64292,0,0,82311,0,0,0,100330,0,0,0,118349,0,0,0,0,0,136368,0,0,0,0,0,0,0,0,0,0,0,0,0
143,28152,45593,67489,0,84930,0,0,102371,0,0,0,119812,0,0,0,137253,0,0,0,0,0,154694,0,0,0,0,0,0,0,0,0,0,0,0,0
146,28084,103257,126682,146419,221592,278541,291393,366566,0,0,0,441739,0,0,0,516912,0,0,0,0,0,592085,0,0,0,0,0,0,0,0,0,0,0,0,0
147,28169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,28645,46699,0,0,64753,0,0,82807,0,0,0,100861,0,0,0,118915,0,0,0,0,0,136969,0,0,0,0,0,0,0,0,0,0,0,0,0
150,28356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,28084,45866,0,0,63648,0,0,81430,0,0,0,99212,0,0,0,116994,0,0,0,0,0,134776,0,0,0,0,0,0,0,0,0,0,0,0,0
152,28152,45611,86750,0,104209,0,0,121668,0,0,0,139127,0,0,0,156586,0,0,0,0,0,174045,0,0,0,0,0,0,0,0,0,0,0,0,0
153,28237,45933,0,0,63629,0,0,81325,0,0,0,99021,0,0,0,116717,0,0,0,0,0,134413,0,0,0,0,0,0,0,0,0,0,0,0,0
154,28067,95947,118097,137460,205340,270535,281211,349091,0,0,0,416971,0,0,0,484851,0,0,0,0,0,552731,0,0,0,0,0,0,0,0,0,0,0,0,0
